,Private,Apps,Accept,perc.accept,Enroll,perc.enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Tot.Exp,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Goshen College,Yes,440,396,90,221,56,26,51,910,166,9420,3730,600,13750,1230,51,56,9.9,46,10270,72
Goucher College,Yes,1151,813,71,248,31,40,64,850,80,15588,6174,500,22262,1200,78,90,9.2,34,16623,77
Grace College and Seminary,Yes,548,428,78,167,39,18,46,618,113,8958,3670,300,12928,1000,53,59,15.3,26,9798,64
Graceland College,Yes,555,414,75,242,58,14,41,996,2281,9100,3100,550,12750,880,51,61,23.6,24,5609,47
Grand Valley State University,No,5165,3887,75,1561,40,20,60,8234,2619,6108,3800,500,10408,1000,64,66,20.6,9,5063,57
Green Mountain College,Yes,780,628,81,198,32,7,20,545,42,11750,2700,400,14850,850,77,83,14,24,6475,76
Greensboro College,Yes,608,494,81,176,36,10,31,649,314,8330,3770,550,12650,1300,64,80,13,31,7949,39
Greenville College,Yes,510,387,76,194,50,20,46,771,53,10310,4530,400,15240,800,57,61,14.3,16,8222,60
Grinnell College,Yes,2039,1389,68,432,31,56,91,1333,30,15688,4618,400,20706,400,88,92,9.5,54,18979,83
Grove City College,Yes,2491,1110,45,573,52,57,88,2213,35,5224,3048,525,8797,350,65,65,18.4,18,4957,100
Guilford College,Yes,1202,1054,88,326,31,18,44,1410,299,13404,5160,450,19014,1050,78,86,15.6,30,9114,65
Gustavus Adolphus College,Yes,1709,1385,81,634,46,36,72,2281,50,14125,3600,400,18125,700,79,89,12.5,58,9907,80
Gwynedd Mercy College,Yes,380,237,62,104,44,30,56,716,1108,11000,5550,500,17050,500,36,41,7.8,22,7483,96
Hamilton College,Yes,3140,1783,57,454,25,40,82,1646,24,19700,5050,300,25050,800,91,96,9.6,60,17761,91
Hamline University,Yes,1006,825,82,328,40,34,73,1362,102,13252,4194,450,17896,550,89,93,13,33,10296,65
Hampden - Sydney College,Yes,817,644,79,307,48,20,40,945,1,13218,4773,660,18651,600,95,97,13.3,53,12263,69
Hampton University,Yes,7178,3755,52,1433,38,25,63,4623,740,7161,3518,600,11279,2000,60,64,14,9,6791,70
Hanover College,Yes,1006,837,83,317,38,33,65,1024,15,8200,3485,500,12185,1200,84,84,10.6,26,9248,64
Hardin-Simmons University,Yes,467,424,91,350,83,16,40,1365,334,6300,2980,700,9980,2140,75,79,13.7,10,7054,38
Harding University,Yes,1721,1068,62,806,75,35,75,3128,213,5504,3528,700,9732,910,71,77,17.7,37,6466,73
Hartwick College,Yes,2083,1725,83,430,25,22,49,1464,67,17480,4780,500,22760,700,75,87,12.3,32,11625,73
Harvard University,Yes,13865,2165,16,1606,74,90,100,6862,320,18485,6410,500,25395,1920,97,97,9.9,52,37219,100
Harvey Mudd College,Yes,1377,572,42,178,31,95,100,654,5,17230,6690,700,24620,900,100,100,8.2,46,21569,100
Hastings College,Yes,817,708,87,262,37,22,52,935,37,9376,3272,500,13148,1902,57,63,13,17,7335,52
Hendrix College,Yes,823,721,88,274,38,52,87,954,6,8800,3195,500,12495,1200,82,99,13.1,26,8588,63
Hillsdale College,Yes,920,745,81,347,47,35,66,1133,42,11090,4700,400,16190,750,80,80,12,31,12639,79
Hiram College,Yes,922,729,79,244,33,37,66,1000,275,14067,4560,400,19027,1000,75,95,10.6,34,12165,79
Hobart and William Smith Colleges,Yes,2688,2081,77,500,24,25,53,1792,5,19029,5841,600,25470,600,99,99,12.1,37,13040,79
Hofstra University,Yes,7428,5860,79,1349,23,25,63,6534,1350,11600,5920,1000,18520,1000,81,90,13.9,10,10093,60
Hollins College,Yes,602,498,83,215,43,26,58,795,74,13470,5515,500,19485,850,78,91,11.1,48,13957,72
Hood College,Yes,699,565,81,176,31,36,64,710,399,13960,6040,450,20450,690,82,88,14.4,34,12434,72
Hope College,Yes,1712,1483,87,624,42,37,69,2505,208,12275,4341,465,17081,1100,72,81,12.5,40,9284,72
Houghton College,Yes,949,786,83,302,38,30,70,1210,26,9990,3550,500,14040,1500,85,90,15,24,8187,67
Huntingdon College,Yes,608,520,86,127,24,26,47,538,126,8080,3920,500,12500,1100,63,72,11.4,9,7703,44
Huntington College,Yes,450,430,96,125,29,20,46,488,43,9950,3920,300,14170,1300,76,76,11.8,25,9466,47
Huron University,Yes,600,197,33,124,63,3,9,392,69,7260,3090,600,10950,1840,31,35,12.9,4,9249,21
Husson College,Yes,723,652,90,361,55,10,30,951,706,7800,4000,350,12150,1500,36,44,22,4,4923,84
Illinois Benedictine College,Yes,607,558,92,269,48,22,47,1222,519,10500,4348,650,15498,1500,81,91,11.6,29,8324,75
Illinois College,Yes,894,787,88,262,33,28,63,909,28,8050,3850,600,12500,1000,75,75,15.6,30,7348,52
Illinois Institute of Technology,Yes,1756,1360,77,478,35,42,77,1911,626,14550,4620,500,19670,700,80,88,12.3,26,12851,56
Illinois State University,No,8681,6695,77,2408,36,10,35,15701,1823,7799,3403,537,11739,2605,77,84,21,16,5569,54
Illinois Wesleyan University,Yes,3050,1342,44,471,35,55,86,1818,23,14360,4090,400,18850,650,77,92,12.9,34,9605,83
Immaculata College,Yes,268,253,94,103,41,16,44,494,1305,10000,5364,500,15864,1000,56,64,11.2,33,7305,69
Incarnate Word College,Yes,1163,927,80,386,42,16,49,1685,556,8840,4689,750,14279,2775,67,69,11.4,21,6095,95
Indiana State University,No,5659,4761,84,3147,66,10,31,8596,1949,6892,3706,600,11198,2500,72,76,16.6,8,6996,40
Indiana University at Bloomington,No,16587,13243,80,5873,44,25,72,24763,2717,9766,3990,600,14356,2000,77,88,21.3,24,8686,68
Indiana Wesleyan University,Yes,735,423,58,366,87,20,48,2448,707,9210,3782,700,13692,1000,49,51,39.8,15,6562,34
Iona College,Yes,4892,3530,72,913,26,13,33,3906,1446,10690,6790,570,18050,1150,66,83,16,14,8107,66
Iowa State University,No,8427,7424,88,3441,46,26,59,18676,1715,7550,3224,640,11414,2055,81,88,19.2,22,8420,65
Ithaca College,Yes,7259,5526,76,1368,25,23,52,5612,166,14424,6192,634,21250,1000,58,79,11.5,25,9812,75
James Madison University,No,11223,5285,47,2082,39,32,72,9652,742,7994,4544,500,13038,732,77,81,17.9,29,5212,98
Jamestown College,Yes,472,410,87,262,64,14,41,9950,71,7620,3050,400,11070,400,51,53,17,21,3186,54
Jersey City State College,No,2957,1423,48,691,49,10,30,3817,1394,3946,4800,400,9146,1500,63,67,14.9,10,8367,26
John Brown University,Yes,605,405,67,284,70,24,53,961,99,6398,3672,400,10470,1350,68,68,13.3,19,8118,75
John Carroll University,Yes,2421,2109,87,820,39,27,57,3168,392,11700,5550,600,17850,450,89,90,14.5,28,7738,89
Johns Hopkins University,Yes,8474,3446,41,911,26,75,94,3566,1569,18800,6740,500,26040,1040,96,97,3.3,38,56233,90
Johnson State College,No,833,669,80,279,42,3,13,1224,345,7656,4690,500,12846,624,80,91,14.4,15,6564,36
Judson College,Yes,313,228,73,137,60,10,30,552,67,9414,4554,500,14468,1700,34,55,10.6,30,7840,56
Juniata College,Yes,1005,859,85,298,35,36,55,1075,43,14850,4460,450,19760,420,97,97,12.7,37,12067,80
Kansas State University,No,5880,4075,69,2833,70,25,55,14914,2246,6995,3120,600,10715,2000,76,86,18.5,22,6122,54
Kansas Wesleyan University,Yes,589,575,98,148,26,16,40,474,258,8400,3250,500,12150,1400,63,55,12.4,14,6535,68
Keene State College,No,3121,2446,78,822,34,5,19,3480,776,7870,4157,500,12527,1150,73,73,16.1,13,6195,61
Kentucky Wesleyan College,Yes,584,497,85,175,35,20,49,662,121,8000,4150,500,12650,1300,57,65,11.3,32,7058,62
Kenyon College,Yes,2212,1538,70,408,27,44,75,1445,1,19240,3690,750,23680,480,95,95,11.1,46,14067,88
Keuka College,Yes,461,381,83,174,46,10,43,738,55,9600,4550,600,14750,750,55,94,13.3,43,7863,51
King's College,Yes,1456,1053,72,381,36,20,45,500,541,10910,5160,400,16470,1795,66,72,15.6,37,7649,87
King College,Yes,355,300,85,142,47,34,65,509,44,8664,3350,600,12614,3000,65,68,10.7,25,8954,65
Knox College,Yes,1040,845,81,286,34,48,77,967,24,15747,4062,400,20209,800,88,95,12.7,33,13224,79
La Roche College,Yes,361,321,89,185,58,10,41,650,819,8842,4782,600,14224,1100,57,73,14.2,14,7022,52
La Salle University,Yes,2929,1834,63,622,34,20,56,2738,1662,12600,5610,450,18660,3160,90,90,15.1,9,9084,84
Lafayette College,Yes,4010,2402,60,572,24,36,59,2018,226,18730,5740,600,25070,1000,93,96,10.5,38,15365,92
LaGrange College,Yes,544,399,73,177,44,15,35,600,363,6987,3585,750,11322,1500,77,83,12.5,12,9067,75
Lake Forest College,Yes,979,638,65,271,42,31,70,968,20,16880,3970,920,21770,1320,91,94,10.7,19,15687,77
Lakeland College,Yes,497,452,91,231,51,24,47,887,1957,9400,4005,500,13905,1000,49,65,17.2,25,4054,57
Lamar University,No,2336,1725,74,1043,60,10,27,5438,4058,4752,3040,508,8300,1463,48,82,18.4,12,5879,26
Lambuth University,Yes,831,538,65,224,42,15,35,840,325,5170,3430,600,9200,1590,61,61,16.1,10,5531,60
Lander University,No,1166,1009,87,510,51,9,33,2074,341,4938,2987,528,8453,1702,67,77,17,11,6119,51
Lawrence University,Yes,1243,947,76,324,34,50,77,1129,74,17163,3891,525,21579,975,76,92,10.1,57,13965,77
Le Moyne College,Yes,1470,1199,82,425,35,21,76,1820,558,11040,4840,400,16280,900,89,92,13.3,28,8118,94
Lebanon Valley College,Yes,1386,1060,76,320,30,28,56,965,502,13850,4755,400,19005,1125,84,84,12.3,30,8196,85
Lehigh University,Yes,6397,4304,67,1092,25,40,84,4298,132,18700,5580,750,25030,1130,96,99,12.5,43,14665,91
Lenoir-Rhyne College,Yes,979,743,76,259,35,25,46,1188,166,10100,4000,400,14500,1000,88,92,12,20,8539,66
Lesley College,Yes,244,198,81,82,41,12,33,1134,336,11700,5300,550,17550,805,71,88,27.8,18,8694,58
LeTourneau University,Yes,477,417,87,204,49,29,54,1532,77,8840,4240,600,13680,1400,58,70,20.8,23,6863,56
Lewis and Clark College,Yes,2774,2092,75,482,23,35,64,1763,59,15800,4790,450,21040,950,97,98,12.3,21,12999,69
Lewis University,Yes,1154,1050,91,395,38,12,31,2192,1423,10560,4520,500,15580,1200,36,48,14.3,10,7701,61
Lincoln Memorial University,Yes,787,562,71,363,65,21,55,925,605,5950,2890,600,9440,1300,67,72,14.6,35,5177,53
Lincoln University,No,1660,1091,66,326,30,15,41,1196,33,4818,3400,350,8568,1400,71,72,12.6,8,10912,45
Lindenwood College,Yes,810,484,60,356,74,6,33,2155,191,9200,4800,1000,15000,4200,65,85,24.1,9,3480,100
Linfield College,Yes,1561,1188,76,458,39,48,72,1548,840,13380,4210,500,18090,900,89,91,17.8,34,8747,81
Livingstone College,Yes,900,473,53,217,46,22,47,621,11,4400,3400,800,8600,900,53,93,10.4,16,9268,92
Lock Haven University of Pennsylvania,No,3570,2215,62,651,29,17,41,3390,325,7352,3620,225,11197,500,47,55,16.1,14,6374,63
Longwood College,No,2747,1870,68,724,39,12,47,2874,118,7920,3962,550,12432,2200,74,80,18.4,23,5553,62
Loras College,Yes,1641,1283,78,527,41,20,39,1663,170,11200,4000,500,15700,1200,61,62,14.2,24,7578,70
Louisiana College,Yes,2013,1053,52,212,20,33,61,912,158,5150,3036,500,8686,1655,64,74,10.5,11,7547,59
Louisiana State University at Baton Rouge,No,5996,4993,83,3079,62,29,57,16269,3757,5925,2980,600,9505,2242,83,87,15.9,11,6741,37
Louisiana Tech University,No,2397,2144,89,1525,71,22,45,6720,1822,3957,2325,618,6900,1656,66,77,20,13,4546,45
Loyola College,Yes,4076,3137,77,738,24,25,54,3010,184,12990,6300,600,19890,900,86,88,14.7,27,9448,80
Loyola Marymount University,Yes,3768,2662,71,753,28,42,64,3558,436,13592,5916,545,20053,1328,84,88,14.2,10,11677,84
Loyola University,Yes,1891,1698,90,719,42,24,80,2740,761,11100,5870,600,17570,750,77,88,11.7,14,9456,53
Loyola University Chicago,Yes,3579,2959,83,868,29,25,55,5244,3417,11500,5330,700,17530,2000,94,95,6.2,15,13009,65
Luther College,Yes,1549,1392,90,587,42,38,72,2269,85,13240,3560,600,17400,400,73,85,13.8,38,8949,77
Lycoming College,Yes,1286,1005,78,363,36,16,37,1363,74,13900,4300,500,18700,900,75,81,14,32,8024,72
Lynchburg College,Yes,1756,1500,85,366,24,3,21,1524,280,12450,5400,450,18300,870,62,66,12.4,24,8832,70
Lyndon State College,No,535,502,94,223,44,6,20,959,150,7320,4640,500,12460,600,48,65,12.6,15,7114,51
Macalester College,Yes,2939,1496,51,452,30,56,86,1723,113,15909,4772,500,21181,700,85,91,11.9,37,14213,77
MacMurray College,Yes,740,558,75,177,32,12,29,628,63,9620,3750,550,13920,950,49,55,10.8,33,10642,59
Malone College,Yes,874,758,87,428,56,21,46,1605,246,9858,3700,450,14008,1200,42,45,17.6,16,4796,55
Manchester College,Yes,1004,802,80,239,30,23,63,909,51,10440,3850,525,14815,1450,63,72,11.8,20,7940,64
Manhattan College,Yes,2432,1730,71,563,33,20,63,2578,254,12370,6800,500,19670,1800,92,92,13.6,25,10062,79
Manhattanville College,Yes,962,750,78,212,28,21,54,830,150,14700,6550,450,21700,400,97,97,11.3,24,11291,70
Mankato State University,No,3073,2672,87,1547,58,9,29,9649,1792,4300,2643,450,7393,1660,57,68,19,11,5801,68
Marian College of Fond du Lac,Yes,824,670,81,337,50,15,41,1160,653,9400,3400,500,13300,1100,37,37,8.4,21,5352,59
Marietta College,Yes,1611,960,60,342,36,27,60,1089,210,13850,3920,470,18240,810,80,97,13.2,30,10223,96
Marist College,Yes,4731,3171,67,830,26,12,31,3557,658,10700,5925,550,17175,1200,74,81,17.6,34,8408,69
Marquette University,Yes,5152,4600,89,1685,37,36,71,7016,804,11610,4760,600,16970,1950,86,94,13.5,25,9982,77
Marshall University,Yes,4226,3666,87,2007,55,14,60,7703,2339,5094,4010,700,9804,1560,77,86,16.6,10,6203,50
Mary Baldwin College,Yes,499,441,88,199,45,26,52,846,377,11200,7400,600,19200,1300,66,79,6.8,50,10819,90
Mary Washington College,No,4350,2178,50,756,35,39,78,2997,736,6490,4942,650,12082,2102,75,80,17.6,30,5358,84
Marymount College Tarrytown,Yes,478,327,68,117,36,9,34,731,370,11510,6450,575,18535,1075,71,93,10.3,30,10502,77
Marymount Manhattan College,Yes,695,535,77,239,45,21,30,988,785,10200,7000,350,17550,1100,63,76,11.7,20,10622,68
Marymount University,Yes,941,772,82,214,28,10,30,1247,776,11390,5280,500,17170,750,77,82,10.6,17,8575,55
Maryville College,Yes,1464,888,61,176,20,26,52,624,128,11200,4208,500,15908,1642,80,90,11.1,43,8317,51
Maryville University,Yes,549,397,72,169,43,26,51,1343,1751,9250,4550,425,14225,1350,52,58,13.1,13,5925,61
Marywood College,Yes,1107,859,78,323,38,13,51,1452,402,11040,4500,600,16140,700,65,76,11.8,30,9034,66
Massachusetts Institute of Technology,Yes,6411,2140,33,1078,50,96,99,4481,28,20100,5975,725,26800,1600,99,99,10.1,35,33541,94
Mayville State University,No,233,233,100,153,66,5,12,658,58,4486,2516,600,7602,1900,68,68,15.7,11,6971,51
McKendree College,Yes,1002,555,55,119,21,16,43,836,684,7680,3740,500,11920,800,70,74,17.7,21,6652,52
McMurry University,Yes,578,411,71,187,45,25,50,880,477,6930,3452,400,10782,1525,57,64,11,11,6383,32
McPherson College,Yes,420,293,70,93,32,11,32,336,80,7950,3750,600,12300,2740,54,54,9.8,45,9754,48
Mercer University,Yes,2286,1668,73,564,34,37,70,2943,1260,11985,4081,400,16466,1500,93,95,9.2,15,8995,91
Mercyhurst College,Yes,1557,1074,69,397,37,15,40,1805,433,9813,4050,425,14288,1000,45,63,16.7,29,7307,78
Meredith College,Yes,857,772,90,376,49,25,58,1721,470,6720,3250,450,10420,1520,77,82,13.9,33,6881,82
Merrimack College,Yes,1981,1541,78,514,33,18,36,1927,1084,12500,6200,375,19075,1000,73,75,16.8,22,8707,80
Mesa State College,No,1584,1456,92,891,61,6,18,3471,911,5016,3798,540,9354,2256,48,48,28.8,12,3871,59
Messiah College,Yes,1742,1382,79,607,44,30,64,2258,53,10300,5080,475,15855,1200,68,75,14.1,30,7762,89
Miami University at Oxford,No,9239,7788,84,3290,42,35,39,13606,807,8856,3960,500,13316,1382,81,89,17.6,20,7846,85
Michigan State University,No,18114,15096,83,6180,41,23,57,26640,4120,10658,3734,504,14896,600,93,95,14,9,10520,71
Michigan Technological University,No,2618,2288,87,1032,45,42,77,5524,414,8127,3978,900,13005,1200,82,82,17,25,7473,65
MidAmerica Nazarene College,Yes,331,331,100,225,68,15,36,1100,166,6840,3720,1100,11660,4913,33,33,15.4,20,5524,49
Millersville University of Penn.,No,6011,3075,51,960,31,22,60,5146,1532,7844,3830,450,12124,1258,72,74,16.8,20,7832,71
Milligan College,Yes,610,461,76,189,41,26,52,685,49,8200,3300,550,12050,1000,63,69,12,16,8128,64
Millikin University,Yes,1444,1261,87,456,36,29,62,1788,95,11910,4378,450,16738,965,60,77,11.4,25,8149,75
Millsaps College,Yes,905,834,92,319,38,32,61,1073,179,11320,4402,550,16272,1350,82,89,12.7,38,11218,58
Milwaukee School of Engineering,Yes,1217,1088,89,496,46,36,69,1773,884,11505,3255,1000,15760,2075,35,46,16.7,23,7140,67
Mississippi College,Yes,594,385,65,307,80,36,57,1695,721,5580,2830,600,9010,700,77,79,16.5,18,6170,61
Mississippi State University,No,4255,3277,77,1609,49,18,57,10094,1621,9866,3084,480,13430,1479,77,77,15.9,20,6223,53
Mississippi University for Women,No,480,405,84,380,94,19,46,1673,1014,4386,2217,600,7203,1500,49,54,15.8,8,5704,63
Missouri Southern State College,No,1576,1326,84,913,69,13,50,3689,2200,3840,2852,200,6892,400,52,54,20.3,9,4172,100
Missouri Valley College,Yes,1310,983,75,316,32,5,35,1057,175,8550,5050,400,14000,900,35,67,17.4,16,4333,27
Monmouth College IL,Yes,601,503,84,204,41,28,57,671,11,13000,4100,400,17500,460,91,91,11.6,43,11087,56
Monmouth College,Yes,2707,1881,69,478,25,14,34,1893,847,12480,5290,530,18300,1740,70,85,14.2,15,9492,54
Montana College of Mineral Sci. & Tech.,No,572,544,95,320,59,45,72,1470,416,6073,3400,550,10023,1400,71,71,16.4,31,6112,74
Montana State University,No,3500,2836,81,1779,63,15,42,8730,993,5552,3710,550,9812,2300,75,83,17.6,8,6324,37
Montclair State University,No,5220,2128,41,865,41,19,53,6411,3186,3648,4834,700,9182,950,82,87,21.5,9,6717,58
Montreat-Anderson College,Yes,263,223,85,103,46,10,24,316,20,8438,3372,500,12310,2958,42,50,11.1,4,11989,15
Moorhead State University,No,2442,2164,89,1189,55,12,37,5983,1075,4426,2664,600,7690,1000,76,81,18.1,19,4795,60
Moravian College,Yes,1232,955,78,303,32,23,58,1241,485,14990,4730,550,20270,1250,86,92,15.2,28,9566,74
Morehouse College,Yes,3708,1678,45,722,43,41,66,2852,153,7050,5490,250,12790,600,71,74,17.8,10,8122,83
Morningside College,Yes,586,533,91,239,45,16,36,950,228,10520,3678,500,14698,1000,48,68,13,32,8111,56
Morris College,Yes,882,730,83,330,45,2,13,926,12,4515,2550,850,7915,2100,53,60,18.6,34,6990,60
Mount Holyoke College,Yes,1800,1314,73,526,40,47,79,1891,40,19300,5700,750,25750,750,79,91,9,51,18359,84
Mount Marty College,Yes,279,276,99,126,46,17,37,600,435,6844,2980,500,10324,500,45,55,11.7,38,5073,44
Mount Mary College,Yes,235,217,92,121,56,12,32,931,487,8950,3119,550,12619,1125,51,51,10.7,26,7016,78
Mount Mercy College,Yes,368,317,86,159,50,20,49,806,542,10500,3555,500,14555,2285,44,50,11.3,30,6695,64
Mount Saint Clare College,Yes,325,284,87,95,33,16,33,364,88,9900,3650,500,14050,1200,32,37,13.6,43,6525,21
Mount Saint Mary's College,Yes,1321,1159,88,328,28,15,36,1243,79,12850,6200,550,19600,900,77,82,12.8,36,8536,80
Mount Saint Mary College,Yes,1170,695,59,238,34,14,48,1170,429,7470,4600,250,12320,1400,74,75,15.3,23,6898,88
Mount St. Mary's College,Yes,657,537,82,113,21,37,90,1039,466,12474,5678,630,18782,1278,53,71,11.9,19,10613,72
Mount Union College,Yes,1310,1086,83,458,42,26,61,1365,144,12250,3530,400,16180,1150,85,87,16.7,35,7215,81
Mount Vernon Nazarene College,Yes,510,485,95,334,69,18,36,1114,94,7400,3346,600,11346,600,57,57,19.8,7,6869,58
Muhlenberg College,Yes,2519,1836,73,462,25,30,61,1656,352,16975,4565,600,22140,850,76,86,12.8,39,10888,83
Murray State University,No,2225,1910,86,1190,62,29,55,5968,955,4738,3110,700,8548,940,72,76,20.2,27,5972,52
Muskingum College,Yes,1109,922,83,375,41,24,46,1115,70,13240,3914,600,17754,800,73,85,13.4,27,9333,73
National-Louis University,Yes,513,347,68,279,80,23,48,2508,505,9090,4500,650,14240,500,62,65,18.3,2,7905,71
Nazareth College of Rochester,Yes,947,798,84,266,33,36,68,1274,471,10850,5150,550,16550,800,77,93,13.6,24,8797,61
New Jersey Institute of Technology,No,1879,1216,65,483,40,27,62,3311,1646,8832,5376,700,14908,1850,92,98,13.5,19,12529,72
New Mexico Institute of Mining and Tech.,No,787,601,76,233,39,40,73,1017,411,5376,3214,600,9190,1100,99,100,13.7,11,9241,34
New York University,Yes,13594,7244,53,2505,35,70,86,12408,2814,17748,7262,450,25460,1000,87,98,7.8,16,21227,71
Newberry College,Yes,872,722,83,154,21,14,36,601,36,10194,2600,500,13294,1500,57,63,11.4,32,5788,83
Niagara University,Yes,2220,1796,81,467,26,65,99,1919,334,10320,4762,450,15532,650,68,100,14.2,20,7788,65
North Adams State College,No,1563,1005,64,240,24,1,19,1380,136,5542,4330,500,10372,1000,65,71,14.2,17,6562,57
North Carolina A. & T. State University,No,4809,3089,64,1429,46,12,33,6162,871,6806,1780,600,9186,1651,72,72,16.7,9,7090,44
North Carolina State University at Raleigh,No,10634,7064,66,3176,45,39,78,16505,5481,8400,6540,600,15540,1300,92,98,17.5,21,9670,62
North Carolina Wesleyan College,Yes,812,689,85,195,28,7,24,646,84,8242,4230,600,13072,1295,77,77,12.7,11,10090,52
North Central College,Yes,1127,884,78,308,35,30,64,1310,766,11718,7398,450,19566,1800,73,87,16.4,33,8871,76
North Dakota State University,No,2968,2297,77,1610,70,13,47,7368,1128,5834,2744,600,9178,2000,79,83,17,24,6310,42
North Park College,Yes,465,361,78,176,49,19,39,879,156,12580,4345,400,17325,970,76,79,13.1,24,10889,74
Northeast Missouri State University,No,6040,4577,76,1620,35,36,72,5640,266,4856,3416,400,8672,1100,69,72,15.7,13,6601,76
Northeastern University,Yes,11901,8492,71,2517,30,16,42,11160,10221,13380,7425,600,21405,1750,73,82,12.9,17,9563,46
Northern Arizona University,No,5891,4931,84,1973,40,23,48,11249,2682,6746,3728,620,11094,2342,78,83,21.7,7,6157,41
Northern Illinois University,No,10706,7219,67,2397,33,12,37,14826,1979,7799,3296,470,11565,1750,73,78,17.3,11,6086,56
Northwest Missouri State University,No,2729,2535,93,1257,50,8,29,4787,472,3735,3136,250,7121,1630,62,65,21.7,23,5284,54
Northwest Nazarene College,Yes,616,514,83,385,75,29,52,1115,60,9840,2820,450,13110,822,59,59,14.8,20,6261,58
Northwestern College,Yes,860,811,94,366,45,22,56,1040,52,9900,3075,300,13275,1800,68,68,14.9,34,6357,68
Northwestern University,Yes,12289,5200,42,1902,37,85,98,7450,45,16404,5520,759,22683,1585,96,100,6.8,25,26385,92
Norwich University,Yes,1743,1625,93,626,39,8,29,1862,382,14134,5270,500,19904,800,71,74,13.1,22,9209,63
Notre Dame College,Yes,379,324,85,107,33,15,37,500,311,9990,4900,400,15290,600,44,47,12.1,26,4948,33
Oakland University,No,3041,2581,85,1173,45,16,56,6441,3982,9114,4030,400,13544,650,88,90,19.7,13,6637,53
Oberlin College,Yes,4778,2767,58,678,25,50,89,2587,120,19670,5820,575,26065,1119,77,96,10.1,47,16593,83
Occidental College,Yes,2324,1319,57,370,28,52,81,1686,35,16560,5140,558,22258,1152,91,93,10.5,30,16196,79
Oglethorpe University,Yes,792,649,82,186,29,56,87,769,377,12900,4340,600,17840,4110,91,95,13.1,27,8568,67
Ohio Northern University,Yes,2936,2342,80,669,29,35,62,2502,66,15990,4080,600,20670,825,73,78,14.5,31,9979,83
Ohio University,No,11023,8298,75,3183,38,21,54,14861,1310,7629,4095,550,12274,2300,79,87,20.4,13,8811,64
Ohio Wesleyan University,Yes,2190,1700,78,458,27,36,65,1780,48,16732,5650,550,22932,550,93,93,12.1,32,12011,75
Oklahoma Baptist University,Yes,758,681,90,484,71,35,59,1707,705,5390,3140,515,9045,1290,63,71,15.1,18,5511,50
Oklahoma Christian University,Yes,776,765,99,351,46,22,44,1419,228,6400,3150,500,10050,1900,58,64,16.2,8,6578,45
Oklahoma State University,No,4522,3913,87,2181,56,29,57,12830,1658,5336,3344,800,9480,3100,84,92,15.3,14,6433,48
Otterbein College,Yes,1496,1205,81,428,36,26,57,1648,936,12888,4440,420,17748,840,62,68,13.9,30,8802,87
Ouachita Baptist University,Yes,910,773,85,450,58,31,73,1310,61,6530,2800,500,9830,1500,63,67,13.3,10,6413,65
Our Lady of the Lake University,Yes,2308,1336,58,295,22,22,46,1202,942,8530,3644,616,12790,1576,56,64,14.9,25,7114,37
Pace University,Yes,8256,3750,45,1522,41,37,70,5809,4379,11000,5160,660,16820,1115,90,95,13.8,10,10059,62
Pacific Lutheran University,Yes,1603,1392,87,504,36,31,68,2580,302,13312,4488,600,18400,1516,78,78,11,23,9431,83
Pacific Union College,Yes,940,668,71,385,58,20,48,1316,139,11925,3825,630,16380,1926,48,87,12.3,12,9157,69
Pacific University,Yes,943,849,90,288,34,41,71,1041,35,14210,3994,450,18654,1100,76,76,10.9,22,11216,42
Pembroke State University,No,944,774,82,440,57,14,34,2174,529,6360,2760,550,9670,1498,77,77,15,5,6443,48
Pennsylvania State Univ. Main Campus,No,19315,10344,54,3450,33,48,93,28938,2025,10645,4060,512,15217,2394,77,96,18.1,19,8992,63
Pepperdine University,Yes,3821,2037,53,680,33,86,96,2488,625,18200,6770,500,25470,700,95,98,11.6,13,16185,66
Peru State College,No,701,501,71,458,91,10,40,959,457,2580,2624,500,5704,900,48,100,20.1,24,4870,44
Pfeiffer College,Yes,838,651,78,159,24,11,25,654,162,8640,3700,400,12740,1915,62,62,12.2,13,7634,48
Philadelphia Coll. of Textiles and Sci.,Yes,1538,1259,82,468,37,19,42,1664,1042,11690,5062,600,17352,1664,48,80,12.9,15,8028,68
Phillips University,Yes,692,576,83,174,30,19,50,597,83,10500,3860,600,14960,940,58,64,11.6,19,8990,39
Piedmont College,Yes,663,562,85,127,23,20,40,641,63,5640,3620,600,9860,750,89,89,13.2,17,7309,31
Pikeville College,Yes,404,400,99,169,42,28,48,797,100,6000,3000,500,9500,500,48,57,13.4,14,5557,61
Pitzer College,Yes,1133,630,56,220,35,37,73,750,30,17688,5900,650,24238,850,100,100,10.4,11,14820,73
Point Loma Nazarene College,Yes,809,687,85,428,62,20,43,1889,217,10178,4190,800,15168,750,71,71,16.1,19,7895,54
Point Park College,Yes,875,744,85,207,28,7,38,1173,1402,9700,4830,400,14930,1200,45,90,14.5,10,7652,66
Polytechnic University,Yes,1132,847,75,302,36,58,89,1379,214,16200,4200,436,20836,2486,90,90,10.4,14,14329,62
Prairie View A. and M. University,No,2405,2234,93,1061,47,10,22,4564,448,4290,3500,598,8388,1582,55,93,19.4,1,5967,35
Presbyterian College,Yes,1082,832,77,302,36,34,63,1133,30,11859,3635,554,16048,1429,80,85,13.4,42,8354,85
